SubNumberFrom,SubNumberTo,Distance
19.0,1.0,21.236224810212754
167.0,1.0,20.632520575729046
26.0,2.0,10.223658387529602
2.0,195.0,28.277488690683494
128.0,3.0,8.625195550544298
160.0,3.0,19.0542185868388
4.0,96.0,50.42978855845487
4.0,116.0,13.833353973326515
140.0,5.0,10.214827378875125
5.0,143.0,3.544225378001087
6.0,90.0,14.80257028772279
6.0,123.0,8.088268306926933
6.0,171.0,5.226765340374238
7.0,38.0,17.07526353837213
149.0,7.0,6.373433766856472
7.0,150.0,5.224156171366992
7.0,189.0,34.867384652409974
8.0,48.0,17.796045868580045
81.0,8.0,7.626250375589814
8.0,109.0,8.960687031028808
9.0,48.0,18.834220926025896
9.0,82.0,8.108129855885066
64.0,10.0,8.204717413491247
10.0,158.0,73.05873265447006
10.0,182.0,42.52793300354416
10.0,188.0,24.352867481060276
87.0,10.0,7.836905152521851
10.0,147.0,8.249764798738616
11.0,28.0,21.605666348212832
11.0,156.0,11.885087473391266
176.0,12.0,9.287092097406482
12.0,202.0,20.643144377656473
13.0,35.0,20.660748618018488
44.0,13.0,21.441447072923662
13.0,79.0,21.682566189302843
13.0,85.0,30.00317957144435
13.0,91.0,32.161149477868435
107.0,13.0,17.983325246145238
34.0,14.0,20.93407041244351
48.0,14.0,26.165656533851877
80.0,15.0,14.964271870486808
15.0,159.0,20.982103849040495
31.0,16.0,4.316715899218316
16.0,73.0,10.589638471255068
17.0,136.0,18.11896550688189
17.0,170.0,23.650389626648593
17.0,55.0,10.56326746103959
33.0,18.0,8.622401637531791
18.0,80.0,24.696140463546694
19.0,83.0,7.783655616346819
20.0,66.0,26.212485441368596
98.0,20.0,12.366980675396553
146.0,21.0,16.736083588420527
166.0,21.0,17.126036724092987
96.0,22.0,8.376143739608805
22.0,111.0,5.237996168248008
23.0,27.0,15.86722870352366
23.0,208.0,16.299254684094066
24.0,53.0,75.12932127697455
171.0,24.0,26.944761534407714
24.0,104.0,16.262597026262494
131.0,24.0,6.489454792053572
25.0,55.0,6.399078042980947
183.0,25.0,7.18325109051556
116.0,26.0,20.036657679497864
33.0,27.0,42.344854588047745
27.0,121.0,41.152451189362786
27.0,124.0,26.933123193673445
28.0,120.0,16.07987330676515
28.0,127.0,5.488414623212935
90.0,29.0,10.138403420388721
29.0,201.0,7.8374206080354325
30.0,79.0,20.04399592559246
99.0,30.0,16.539184451220265
175.0,31.0,7.208665408637784
32.0,134.0,20.04892873987675
32.0,158.0,8.476837256729505
63.0,33.0,11.024680634913505
34.0,140.0,15.640740540550507
109.0,35.0,16.239124340273026
36.0,60.0,5.647319532271448
36.0,61.0,12.76263130971285
168.0,36.0,5.634025854910554
37.0,78.0,7.8627843063343255
37.0,177.0,34.482875907986
38.0,56.0,19.24276057852805
108.0,39.0,14.758629377871538
137.0,39.0,22.040269958638177
40.0,71.0,6.393092768269215
40.0,150.0,14.102198017006916
75.0,41.0,11.119508023353307
146.0,41.0,9.622569653279829
42.0,182.0,9.515855987617785
188.0,42.0,12.063787839260904
43.0,124.0,20.64000131479526
166.0,43.0,13.343409628023826
44.0,80.0,17.789493942300094
45.0,80.0,17.307808816455353
97.0,45.0,10.656283236915776
46.0,188.0,7.381315270507127
46.0,205.0,12.763266608030078
110.0,47.0,11.26767386599395
47.0,128.0,12.95059929195692
81.0,48.0,10.775032952865033
48.0,97.0,24.096276122927193
48.0,114.0,33.22527604063759
151.0,48.0,6.830432177711227
48.0,207.0,19.66544452335848
49.0,80.0,20.036531401861257
49.0,126.0,24.005985197291455
50.0,169.0,11.529283203870149
201.0,50.0,11.269861188481283
51.0,54.0,9.081070716235256
104.0,51.0,4.273836907843548
52.0,111.0,7.836683975531756
52.0,116.0,26.830534295840373
53.0,105.0,6.916061500315729
53.0,150.0,29.60746689544877
123.0,54.0,10.678335914300186
132.0,54.0,6.374227104977261
55.0,136.0,8.249211786572063
56.0,93.0,23.368831185658568
56.0,150.0,22.981237555566178
189.0,56.0,17.05374089610684
57.0,116.0,29.29371128416043
57.0,177.0,26.205411447302666
58.0,89.0,11.119508023353307
58.0,169.0,10.706073289185037
59.0,153.0,10.056551181204249
170.0,59.0,4.309526664536196
122.0,60.0,10.02309602208452
61.0,138.0,7.282398608240909
61.0,160.0,15.192757638203668
61.0,175.0,28.480484264605366
62.0,69.0,12.016514831061096
62.0,82.0,13.516040373175743
191.0,62.0,12.265997047842651
119.0,63.0,15.898361294522957
200.0,63.0,8.612101112028462
170.0,64.0,20.343865168955897
98.0,64.0,6.733745729463336
65.0,170.0,7.836672313770152
65.0,199.0,29.887627868002337
199.0,66.0,5.752948604549471
67.0,96.0,22.87811795076386
67.0,118.0,18.38292860178623
68.0,88.0,8.645512951743648
68.0,159.0,13.34340962802312
69.0,82.0,8.943132367343674
69.0,92.0,61.87225617764796
69.0,96.0,22.915888383802997
83.0,69.0,12.152116744213728
