SubNumberFrom,SubNumberTo
10001,10000
10007,10000
10009,10001
10003,10002
10002,10006
10477,10002
10003,10003
10003,10477
10004,10004
10005,10004
10004,13012
10004,13019
10005,10005
10010,10005
13012,10005
10009,10006
10007,10012
10008,10008
10008,10015
10008,10489
10009,10008
10008,10047
10009,10009
10010,10010
10010,13260
10011,10021
10011,10489
10012,10012
10431,10012
10012,10019
10013,13048
10013,13270
13316,10013
10014,10015
10014,10020
10015,10015
10431,10015
10489,10015
10015,10025
10016,10459
10016,10474
10033,10017
10018,10018
10018,10019
10035,10018
10020,10020
10020,10489
10021,10026
10023,10022
10022,10030
10022,10507
10022,13096
10023,10023
10023,10023
10507,10023
10024,10027
10024,10034
10474,10024
10025,10025
10026,10025
10026,10039
10030,10027
10027,10436
10066,10028
10028,10459
10029,10029
10041,10029
10029,10431
10031,10031
10032,10031
10031,10034
10031,10038
10032,10032
10032,10032
10032,10459
10033,10033
10033,10063
10035,10052
10036,10036
10044,10036
10036,10065
10037,10037
10037,10037
10038,10037
10037,10045
10037,10060
10037,10276
10459,10037
10039,10077
10040,10040
10040,10040
10041,10040
10040,10087
10041,10041
10041,10041
10041,10041
10042,10046
10443,10042
10043,10054
10058,10043
10066,10044
10044,10088
10045,10045
10045,10090
10046,10046
13100,10046
10047,10077
10048,10056
10048,10059
10048,10079
10048,13169
10049,10049
10049,10456
10049,10049
10049,10072
10082,10049
10049,10049
10050,10050
10067,10050
10050,10071
10051,10051
10051,10051
10051,10078
10051,10127
10052,10071
10118,10052
10053,10053
10053,10073
10053,10087
10053,10134
10054,10080
10054,10087
10079,10055
10055,10102
10055,10480
10056,10086
10056,10101
10057,13094
10057,13096
10057,13115
10057,13127
13169,10057
10058,10058
10058,10058
10077,10058
10058,10493
10059,10480
10060,10060
10090,10060
10061,10061
10061,10061
13152,10061
13177,10061
13185,10061
10062,10062
10062,10062
10076,10062
10086,10062
13166,10062
10063,10126
10064,10064
10064,10064
10064,10109
10118,10064
10065,10065
10065,10125
10067,10067
10067,10073
10073,10068
10082,10068
10070,10069
10069,10234
10069,10446
10070,10070
10168,10070
10446,10070
10467,10070
10070,10070
10070,10109
10070,10147
10070,10182
10070,10070
10071,10071
10071,10072
10071,10197
10072,10072
10072,10072
10072,10072
10073,10073
10073,10431
10456,10073
10073,10080
10074,13166
10074,13182
13185,10074
10075,10085
13183,10075
10076,10076
10104,10076
10076,13176
10077,10077
10078,10078
10078,10123
10078,10495
10080,10114
10081,10089
10081,10089
10113,10081
10113,10081
10082,10082
10082,10083
10083,10083
10083,10083
10093,10083
10084,10111
10084,10112
10085,10085
10112,10085
10087,10087
10087,10087
10087,10087
10088,10095
10089,10108
10090,10090
10090,10095
10091,10091
10091,10092
10091,10108
10129,10091
10121,10092
10093,10165
10094,10094
10094,10094
10141,10094
10095,10099
10096,10096
10114,10096
10096,10152
10097,10500
10097,13177
10097,13178
10097,13179
10098,10438
10098,13196
10098,13201
10099,10099
10099,10455
10152,10100
10156,10100
10100,10181
10100,10456
10101,10101
10101,10101
10111,10101
10101,10476
10102,10102
10102,10433
10103,13168
10103,13176
13178,10103
10112,10104
10123,10105
10472,10105
10106,10106
10106,10106
10106,10444
10495,10106
10153,10107
10107,10456
10108,10108
10109,10109
10110,10110
10110,10125
10110,10457
10111,10111
10111,10285
10112,10112
10112,10451
10112,10492
10112,13114
13178,10112
10112,10112
10112,10112
10113,10113
10113,10113
10113,10432
10456,10113
10113,10459
10115,10120
10115,10153
10170,10116
10466,10116
10143,10117
10117,10438
10118,10118
10128,10118
10150,10118
10119,10119
10119,10133
10119,10214
10120,10129
10121,10456
10132,10122
10122,10176
10124,10123
10124,10124
10444,10124
10125,10125
10425,10125
10125,10460
10126,10127
10467,10126
10127,10127
10127,10131
10444,10127
10128,10141
10150,10128
10129,10129
10173,10130
10130,10179
10214,10130
10131,10131
10131,10466
10132,10132
10132,10455
10133,10149
10141,10134
10193,10135
10135,10225
